,screenName,userId,text,location,multi-team
0,desmond_ayala,2953471687.0,Which pokemon go team did y'all chose? #valor,"Caldwell, ID",False
1,aphrospice,16290855.0,#Magikarp practicing his struggle skills in the park. #PokemonGo #TeamMystic #PokemongoNYC https://t.co/enTpMub4D1 https://t.co/9JBQB1IiZY,"Brooklyn, NY",False
2,ABellgowan,1681036284.0,Pokemon Go is taking over my life #TeamInstinct,"Bixby, OK",False
3,JangoSnow,10574342.0,Go Team Instinct! I like underdogs. :)  https://t.co/Y9u9hcLTS5,"Los Angeles, CA",False
4,EmberLighta2,7.513919505536164e+17,#TeamMystic has total control of Niagara Falls!!,"Niagara Falls, NY",False
5,marshalljansen,135927446.0,Stopped for lunch at a local seafood spot.  It's a PokeStop. #PokemonGO #TeamValor https://t.co/TRNmvxVkUw,"Alabama, USA",False
6,locustXreign,31673183.0,Team valor straightedge fuck everyone else https://t.co/6QOrlJurbo,"Columbus, OH",False
7,ThomasDalziel,575038432.0,I know I'm not the first but I had to! It's too perfect 💋 @JinkxMonsoon #Jynx #PokemonGo #TeamMystic https://t.co/vWIGHarvm4,"Lincroft, NJ",False
8,NYCcud,251628815.0,Soooo mad I couldn't find this Blastoise on campus #PokemonGO #blastoise #TeamInstinct https://t.co/q5Lfg52I2u,"Atlanta, GA",False
9,SarahFranchesca,50696175.0,Any team instinct fellas wanna take some gyms tonight,"Virginia Beach, VA",False
10,pay10bumgardner,2186600610.0,Team valor for life https://t.co/o4rSjKlK0X,"Iowa, USA",False
11,Connor_Reap,124331818.0,Just ordered mine. #TeamInstinct ⚡️ https://t.co/pIpMaGrzik,"Mount Juliet, TN",False
12,s_cruves,379961760.0,Out here in the Midwest flexin for Team Mystic #PokemonGO,"Iowa, USA",False
13,igoldenglittr,7.463782398917796e+17,#TeamValor 😉🔥✨ https://t.co/AZl8VTnJN6,"Sheldon, TX",False
14,MikeSchutte,299956163.0,@Bmeck12 @_chwitter_ team mystic rising up. #ComingForAsh https://t.co/HxliiXAJEY,"Crescent Springs, KY",False
