State,Num Tweets,Num Red,Num Blue,Num Yellow,R Frac,Y Frac,B Frac,R Frac Err,Y Frac Err,B Frac Err,Average Rel Err,Improved
Pennsylvania,275,111,97,67,0.4036363636363636,0.24363636363636362,0.3527272727272727,0.03042934757732503,0.026447777299871727,0.02960025121939332,0.08928685702772947,True
Delaware,27,13,7,7,0.48148148148148145,0.25925925925925924,0.25925925925925924,0.09643863280275865,0.08453140181375009,0.08453140181375009,0.28413166913177273,False
Nebraska,64,26,23,15,0.40625,0.234375,0.359375,0.06180561011075054,0.05321332522848538,0.06036682218843701,0.18238588391725577,False
Michigan,324,123,115,86,0.37962962962962965,0.2654320987654321,0.3549382716049383,0.027841342722534485,0.025192105214707355,0.027430328322833583,0.08184331043509352,True
Idaho,27,11,9,7,0.4074074074074074,0.25925925925925924,0.3333333333333333,0.09482799405432316,0.08452637551458005,0.09096055009467224,0.27722385920331877,False
Montana,10,2,5,3,0.2,0.3,0.5,0.12658032706546465,0.14505321506261074,0.1582868282580708,0.47766200290627797,False
Alabama,91,34,31,26,0.37362637362637363,0.2857142857142857,0.34065934065934067,0.05117809675562009,0.04773537327402935,0.0501208027397768,0.15039309507665022,True
Puerto Rico,5,2,3,0,0.4,0.0,0.6,0.21924040503520334,0.0,0.21924040503520334,0.4567508438233403,True
California,1732,723,631,378,0.4174364896073903,0.21824480369515012,0.3643187066974596,0.01387703814932784,0.011121867438399572,0.013474770946509979,0.040396734534008,True
Tennessee,148,53,62,33,0.3581081081081081,0.22297297297297297,0.4189189189189189,0.04000279998494483,0.034592441740661305,0.04119331982330971,0.12172674427659698,True
Wisconsin,89,36,30,23,0.4044943820224719,0.25842696629213485,0.33707865168539325,0.052506427764924965,0.04674511284801684,0.05054294083063597,0.15354495936240803,False
Connecticut,88,29,45,14,0.32954545454545453,0.1590909090909091,0.5113636363636364,0.05056481490829969,0.03919110643036399,0.05381053818211456,0.16833721782794608,False
South Carolina,82,35,26,21,0.4268292682926829,0.25609756097560976,0.3170731707317073,0.055094421490384515,0.04852729473491612,0.05178861194424776,0.16063306844525987,False
Illinois,308,112,117,79,0.36363636363636365,0.2564935064935065,0.37987012987012986,0.02825172878250866,0.02550682048819751,0.028517653377311276,0.08406956003517703,True
Nevada,146,58,55,33,0.3972602739726027,0.22602739726027396,0.3767123287671233,0.041116900074138804,0.03499514524141071,0.04070690166860513,0.12212882975606332,True
North Carolina,189,79,68,42,0.41798941798941797,0.2222222222222222,0.35978835978835977,0.036595781525195104,0.03066518574989471,0.035580946184385016,0.10814645643824865,True
New Hampshire,32,12,10,10,0.375,0.3125,0.3125,0.08585848640350004,0.082181855794786,0.082181855794786,0.25163994694309905,False
South Dakota,18,7,5,6,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.11511711696044141,0.11130472020871685,0.10573668669662506,0.33686055878218807,True
Arkansas,33,15,9,9,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.08698424647776726,0.0777509979124913,0.0777509979124913,0.2538464423142303,False
Kansas,84,29,32,23,0.34523809523809523,0.27380952380952384,0.38095238095238093,0.052302957290423176,0.04900310762332663,0.05343909177308732,0.1569145694471392,False
Washington,257,109,91,57,0.42412451361867703,0.22178988326848248,0.3540856031128405,0.031667172412648145,0.02640833962678365,0.030603765131047497,0.09338813168133782,True
Hawaii,66,23,28,15,0.3484848484848485,0.22727272727272727,0.42424242424242425,0.05904187313856053,0.05184245107216103,0.06126362502761949,0.1806461354606945,False
Louisiana,89,40,29,20,0.449438202247191,0.2247191011235955,0.3258426966292135,0.053233074574134454,0.04454188851700946,0.05011416699495716,0.15681788175364694,False
Iowa,72,25,28,19,0.3472222222222222,0.2638888888888889,0.3888888888888889,0.0565063792270134,0.052254902189288154,0.057877934320491556,0.16986197428602645,False
Minnesota,137,58,50,29,0.4233576642335766,0.2116788321167883,0.36496350364963503,0.04283277162411621,0.035243987523397725,0.041711450442906084,0.1273202643580548,True
Kentucky,101,31,43,27,0.3069306930693069,0.26732673267326734,0.42574257425742573,0.046324495528961236,0.044414803169079115,0.049723011349898004,0.14462123934474805,True
Florida,571,207,228,136,0.36252189141856395,0.2381786339754816,0.39929947460595444,0.021256868360767164,0.018607618651085622,0.02169071412351865,0.06369421667525495,True
Ohio,410,156,155,99,0.3804878048780488,0.24146341463414633,0.3780487804878049,0.024974043974510907,0.021810862163181528,0.024940821754437233,0.07397907323284575,True
Vermont,5,1,2,2,0.2,0.4,0.4,0.1789472503281344,0.21920677361797014,0.21920677361797014,0.6635900399101743,False
North Dakota,18,3,7,8,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.08793600366596574,0.11735802209390818,0.11513112939050198,0.3625743490942215,False
Indiana,193,80,63,50,0.41450777202072536,0.25906735751295334,0.32642487046632124,0.03617429942142796,0.03203984273664006,0.034376471053673835,0.10541877885380668,True
Massachusetts,165,54,54,57,0.32727272727272727,0.34545454545454546,0.32727272727272727,0.03709751667842513,0.037610810380378036,0.03709751667842513,0.11186014827922297,True
