,latt,location,long,multi-team,screenName,sentiment,text,userId
0,,"Caldwell, ID",,False,desmond_ayala,pos,Which pokemon go team did y'all chose? #valor,2953471687.0
1,-73.91874075,"Brooklyn, NY",40.69433808,False,aphrospice,pos,#Magikarp practicing his struggle skills in the park. #PokemonGo #TeamMystic #PokemongoNYC https://t.co/enTpMub4D1 https://t.co/9JBQB1IiZY,16290855.0
2,,"Bixby, OK",,False,ABellgowan,pos,Pokemon Go is taking over my life #TeamInstinct,1681036284.0
3,,"Los Angeles, CA",,False,JangoSnow,pos,Go Team Instinct! I like underdogs. :)  https://t.co/Y9u9hcLTS5,10574342.0
4,,"Niagara Falls, NY",,False,EmberLighta2,pos,#TeamMystic has total control of Niagara Falls!!,7.513919505536164e+17
5,,"Alabama, USA",,False,marshalljansen,pos,Stopped for lunch at a local seafood spot.  It's a PokeStop. #PokemonGO #TeamValor https://t.co/TRNmvxVkUw,135927446.0
6,,"Columbus, OH",,False,locustXreign,pos,Team valor straightedge fuck everyone else https://t.co/6QOrlJurbo,31673183.0
7,,"Lincroft, NJ",,False,ThomasDalziel,pos,I know I'm not the first but I had to! It's too perfect 💋 @JinkxMonsoon #Jynx #PokemonGo #TeamMystic https://t.co/vWIGHarvm4,575038432.0
8,,"Atlanta, GA",,False,NYCcud,pos,Soooo mad I couldn't find this Blastoise on campus #PokemonGO #blastoise #TeamInstinct https://t.co/q5Lfg52I2u,251628815.0
9,,"Virginia Beach, VA",,False,SarahFranchesca,pos,Any team instinct fellas wanna take some gyms tonight,50696175.0
10,,"Iowa, USA",,False,pay10bumgardner,pos,Team valor for life https://t.co/o4rSjKlK0X,2186600610.0
11,,"Mount Juliet, TN",,False,Connor_Reap,pos,Just ordered mine. #TeamInstinct ⚡️ https://t.co/pIpMaGrzik,124331818.0
12,,"Iowa, USA",,False,s_cruves,pos,Out here in the Midwest flexin for Team Mystic #PokemonGO,379961760.0
13,,"Sheldon, TX",,False,igoldenglittr,pos,#TeamValor 😉🔥✨ https://t.co/AZl8VTnJN6,7.463782398917796e+17
14,,"Crescent Springs, KY",,False,MikeSchutte,pos,@Bmeck12 @_chwitter_ team mystic rising up. #ComingForAsh https://t.co/HxliiXAJEY,299956163.0
15,,"Plano, TX",,False,AliAbbas_raza,,Team Valor is the Pokemon team equivalent of George Clooney's nipped batman costume,1423919995.0
16,,"Vancouver, WA",,False,Batmack81,pos,@rachelrickman_ #TeamValor,844885298.0
17,,"Chicago, IL",,False,zabrmc,neg,@kymcattys E. Yo system is tryin to purge that team mystic gunk,38387625.0
18,,"Depoe Bay, OR",,False,OmniKitten,pos,The squad needs this for our #PokemonGO hunting 👍🏻 #TeamMystic https://t.co/JAnMzpppJA,50485222.0
19,,"Florence-Graham, CA",,False,jg5conde,pos,#TeamInstinct #LosAngeles https://t.co/cUKSDBW6Om,18789521.0
20,,"McAllen, TX",,False,loudxclear,pos,@bbyzero and I are both team valor!!!!,525522798.0
21,,"Florida, USA",,False,Ky_LeBraun,pos,#TeamInstinct https://t.co/s4ShQisxbG,159877070.0
22,,"Coldwater, NY",,False,glassj3n,pos,So are we getting matching shirts orrrr...? https://t.co/XXMQKrHHc7,1877503412.0
23,,"Tampa, FL",,False,Aleem2142,pos,TEAM MYSTIC LOLLLL I'M ABOUT IT https://t.co/HrIEVA6dGC,40991557.0
24,,"Waldorf, MD",,False,alexmyerly,neg,Team valor be so pressed 😂,237566524.0
25,,"Oklahoma, USA",,False,Zekeee__,pos,"I've decided to take my talents to Team Valor, I feel it's the best decision for me at this point in my career and for my growth as a man.",27538070.0
26,-81.3006,"DeLand, FL",29.0225,False,abbylove1994,pos,"I officially chose a team #mystic #pokemongo @ DeLand, Florida https://t.co/G57YHyjr71",3320379052.0
27,,"Ontario, CA",,False,jpolicarpo143,pos,#TeamInstinct,977000318.0
28,,"Cary, NC",,False,GlamazonianRage,pos,"Team instinct, bitches. #3dprinting #PokemonGO https://t.co/AQ6c83pZLk",179524189.0
29,,"Kansas, USA",,False,Versharky,neg,Or you're team mystic or whatever the fuck that shit it,322822864.0
30,,"Virginia, USA",,False,sugarlustx,pos,Catch of the day #PokemonGO #Geodude #Pokemon #TeamValor https://t.co/ABhegPQMyM,20636918.0
31,,"Virginia, USA",,False,sugarlustx,pos,Favorites :) #Pokemon #PokemonGO #TeamValor https://t.co/HxdnofT78W,20636918.0
32,,"Everett, MA",,False,JoseDaSilva_7,pos,@DaSilva_7 is that a team valor meet up,345172273.0
33,,"Eagle Mountain, TX",,False,MrNateLopez,pos,Ayyyy team instinct it's lit  https://t.co/PU1FB5HP1N,600469588.0
34,-72.80962,"Branford, CT",41.27832,False,bootsandbananas,pos,The #pokemongo products are coming! #embroidering this #teammystic pocket for #travis… https://t.co/faJxaYJZ0J,32735183.0
35,-73.8275474,"Queens, NY",40.7508225,False,Sophiaria,pos,I support this message. #TeamRed #TeamPokemonGo @ Queens Botanical… https://t.co/rWiyNci0to,25011954.0
36,,"Lakeway, TX",,False,Ckeys1010,pos,Decided to take my talents to #TeamInstinct aka yellow team. #outlier #takeover,497873090.0
37,,"Loma Linda, CA",,False,Guardadojose05,pos,@Remymeow even Bae is Team Valor!!,3318038792.0
38,,"Toledo, OH",,False,camcam_marlys,pos,When one of your favorite YouTuber is on the same Team as you! 😱😱😱 YESSS @OMGitsfirefoxx #TeamValor,629696523.0
39,,"Stockton, CA",,False,martinM51402166,pos,@LuiCalibre #TeamValor https://t.co/rYEHrWetdK,4726518625.0
40,,"Woodmere, NY",,False,Watzpoppinz,neg,Keem joined team mystic and everybody leaving. Meanwhile I'm here wondering what team mystic actually is lmao.,4015402311.0
41,,"Montgomery, AL",,False,dyoungman10,pos,@CoryTheGod ill be back tomorrow 😏 #TeamValor,1493436576.0
42,,Rio Hondo College,,False,killatubby,pos,Yo some dude just solo a 3 tier gym at my college go team Valor #PokemonGO,199976785.0
43,,"Boston, MA",,False,ctnash91,pos,Second gym that I claimed today. #PokemonGo #TeamMystic https://t.co/UkyFsv3tYC,95492577.0
44,,"Wesley Hills, NY",,False,cwits29,pos,there's a jigglypuff at the other end of camp and i can't get it :( #pokemongo #teamvalor,2707792742.0
45,,"Oklahoma City, OK",,False,xACEofSPADES23x,pos,@StoicPirate @NerdySiren #TeamYellow,197259875.0
46,,"Malden, MA",,False,hypo_logan,pos,Which team are you? #TeamInstinct https://t.co/nB3RfCcWpD,711939629.0
47,,"Placentia, CA",,False,VeethemultiVers,pos,"Graduation trip https://t.co/4ea7OhL0B8 @TeamMysticPGO help a girl out, a team mystic girl out. 💠 @TeamMystic_MSC @mystic_la @teammysticsac",2418513607.0
48,,"Philadelphia, PA",,False,derekjones198,pos,What does the #Professor do with all the #Pokemon and why does he trade in candy? #TeamValor #PokemonGO #philosophy #pokerights,583028651.0
49,,"Bensalem, PA",,False,BrandTran,pos,Day at the office.  #TeamInstinct #PokémonGo https://t.co/0yKthSiXbW,2171336947.0
50,,Cottage Hill Park,,False,StephanieSWard1,pos,"Walked 3 laps around the park with my mom, hatched 2 eggs and got this big boy in a gym! #TeamValor https://t.co/H7anUhCLM5",1340195240.0
51,,"Florida, USA",,False,hdgelman,,you gotta say no homo before joining team instinct,1023457075.0
52,,"Houston, TX",,False,WhataJry,pos,#TeamValor,1419299107.0
53,,"Severn, MD",,False,ONAonFLICKR,pos,Go Team Mystic!! https://t.co/gOsFftxumv,225708694.0
54,,"Florida, USA",,False,TommyNapolitano,neg,@Lewdblockify So he says problematic &amp; stupid stuff?? I see ppl on Team Mystic saying they wanna quit cuz he joined so I'm curious xD;,2415163255.0
55,-82.4646,"Tampa, FL",27.9709,False,backup0ffm3,pos,"Welp is been decided...#TeamValor @ Tampa, Florida https://t.co/14XUqkkF7l",293977739.0
56,,"National City, CA",,False,SamichsMachines,pos,@AngiViper #TeamMystic,3337432331.0
57,,"Seattle, WA",,False,Vspotcat,pos,All the #PokemonGO in Seattle! #TeamInstinct https://t.co/ghV9F87DmF,7.413442070511985e+17
58,,"Texas, USA",,False,Jamie_Neal865,pos,Pokémon Go #TeamMystic https://t.co/GlO1wdeIgY,4539602652.0
59,-81.730278,"Winter Haven, FL",28.021666999999997,False,pinkypierce,pos,Downtown wh is always poppin #pokemongo #teamvalor #teamred #redordead #pokestop #snorlax… https://t.co/5QwwozfntE,55104261.0
60,,"Sevierville, TN",,False,SammyVega98,pos,Met some cool people last night during this ⚡️😆 #TeamInstinct #PokemonGO https://t.co/siJdhJe1DL,7.519296520343716e+17
61,,"Bryan, TX",,False,Bluetieguy99,,This is my #TeamBlue #Roadtoglory #WWESuperCard starts in 3 hours I'm ready to fight 🙏🙏🙏 https://t.co/BiR0mqEHGL,2584960579.0
62,,"Minneapolis, MN",,False,branmuffinbob,pos,#TeamValor  https://t.co/DXX01Im2F6,3268559538.0
63,,"Ohio, USA",,False,flacko_jordye,pos,Team Mystic will be taking over the area in due time,2277819536.0
64,,"Palm Beach Gardens, FL",,False,eswaggins,pos,@DelrayKava team Mystic!!! 😀😀👍🏼👍🏼👌🏼,16499791.0
65,,"Boston, MA",,False,ctnash91,pos,Just took over the @wgbh gym for #TeamMystic. 👍 #PokemonGo https://t.co/bloSw8EKUQ,95492577.0
66,,"Arkansas, USA",,False,pyle_marie,pos,If my friends our not on team #TeamValor i'm never there friend again,2957940247.0
67,,"Philadelphia, PA",,False,anipgigileta,pos,Coming from #TeamInstinct guys @irfan_hamdi @affiq_aizzad @ameerfarhann @zaifrulassiddiq  https://t.co/KbULm7nuOB,454121809.0
68,,"Florida, USA",,False,Shelby_Norris_,pos,this is my favorite thing #TeamValor https://t.co/pDPWaYfDal,167906583.0
69,,"Texas, USA",,False,TrittyCortez,neg,Whoa I found the #TeamValor meeting room https://t.co/o0BNFz7WLA,2931812293.0
70,,"Arkansas, USA",,False,pyle_marie,pos,#TeamValor https://t.co/0TrvHSATNy,2957940247.0
71,,"Walnutport, PA",,False,torrifying,pos,#TeamInstinct https://t.co/37kse548sq,594053585.0
72,,"Long Beach, CA",,False,ethanpiechota9,pos,#TeamMystic,7.297240247296696e+17
73,,"Chicago, IL",,False,rebemurph,pos,I'm Team Instinct and honestly that's all that matters,554829806.0
74,,"Irving, TX",,False,MixedBoii87,pos,@Chonwe3 #TeamMystic will not take this foolery! https://t.co/xPE1riIPCa,18671004.0
75,,"Lake Magdalene, FL",,False,DrClaytonn,pos,You Already know Team Mystic💙💙 https://t.co/fUrAKhYJWy,339155487.0
76,,"Deming, NM",,False,AH_Aleks,pos,If you aren't on Team Valor we aren't friends 🙃,1143068802.0
77,-71.06291848,"Boston, MA",42.35537405,False,RickMenasce,pos,What a great day to be a pokemon master! #pokemon #teamyellow #zapdos #teaminstinct #pokemonGO… https://t.co/eRMbPdeQVP,445972623.0
78,,"North Smithfield, RI",,False,IamMedellin,pos,@Remymeow the cleansing fire #everythingBurns #TeamValor,294505592.0
79,,"Florida, USA",,False,JaymieVan,neg,Team Instinct be getting a little grabby with the gyms lately,1942375298.0
80,,"Texas, USA",,False,TeamMysticAUSTX,pos,Ok y'all let's try to make Austin and its surrounding towns blue. #TeamMystic #PokemonGO,7.519757181840384e+17
81,,"Miamisburg, OH",,False,ThamanBrayden,pos,someone come to cadillac jacks and help me take this gym for team mystic plz,3314267637.0
82,,"Arkansas, USA",,False,pyle_marie,pos,#pokemongo #mobilegames #TeamValor https://t.co/XPTA0grwPY,2957940247.0
83,,"Boston, MA",,False,RRshootin,pos,Hey @XavierWoodsPhD whats got u shook more? @dvalorofficial ready to stomp u in Smash Bros or the Wyatt Family at #Battleground? #TeamValor,7.055813880037335e+17
84,,"Queens, NY",,False,Really_IC,pos,So this guy appears and I get to throw a pokéball and the game freezes #PokemonGO #TeamValor #guiltypleasure https://t.co/5GB75h80AY,20298544.0
85,,"Schaumburg, IL",,False,trini87,pos,This is so accurate. #TeamInstinct https://t.co/UAUHc5AxJh,26296758.0
86,,"Alabama, USA",,False,ImGowenDude,pos,Hey who's team mystic and in Huntsville Madison area,46824835.0
87,,"Mason, OH",,False,ishmael5,pos,@AllissaByGrace #Mystic the only correct choice.,18548490.0
88,,"Dallas, TX",,False,djc_era,neg,team instinct is terrible im sorry https://t.co/WYKd5YVFZD,2794166628.0
89,,"Cary, NC",,False,iMrHeadset,pos,For #TeamMystic https://t.co/AjpmMF7Br6,2353180124.0
90,,"Colorado Springs, CO",,False,MasterMoyer,pos,@AllissaByGrace #TeamValor,41500187.0
91,,"Delaware, USA",,False,GetUpOnTheMike,,there's a very high level team mystic gym at the wilmu admissions center (where i have class) and i am not surprised about this whatsoever,626902978.0
92,,"Bronx, NY",,False,worshippsalmist,pos,Good morning! #followyourinstincts #tdjakes #instinct https://t.co/qcWqX5tqM7,176944853.0
93,,"South Bend, IN",,False,Trippy_Vibe,,If you team mystic I can't fuck w you #teamsuuwoo,405875311.0
94,,"Whitesboro, NY",,False,captaincaitlin5,pos,I love this and I love my team #TeamInstinct https://t.co/DNXd8pI5Aq,16674840.0
